Gender,Race_ethnicity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Female,"Asian, non-Hispanic",52.8,58.9,61.9,60.4,57.7,58.8,58.3,56.8,63,65.2,65.8,60.3,60.4
Female,"Black, non-Hispanic",35.2,35.5,36.9,36,36.6,37.6,36.9,34,34.2,41.9,41.4,39.9,38.7
Female,Hispanic,25.4,26.1,24.4,29.4,28.2,29.5,27.6,33,28.9,31,36.1,39.4,41.7
Female,"White, non-Hispanic",41.3,41.9,42.8,44.5,45,46.1,44.1,45.7,46.9,47.7,46.1,47.1,46
Female,"Pacific Islander, non-Hispanic",0.0,0.0,0.0,34.5,57.6,65.8,25.8,37.3,32.1,35.6,28.5,42.7,40.3
Female,"American Indian/Alaska Native, non-Hispanic",20.5,24.1,26.9,15.6,28.1,29.5,35.9,34.5,24.3,20.8,36.6,24.4,27.6
Female,"Two or more races, non-Hispanic",0.0,0.0,0.0,43.3,33.4,46.7,38.5,41.6,48.7,41.0,35.8,46.0,43.6
Male,"Asian, non-Hispanic",59.0,63.7,59.9,62.2,63.5,63.1,58.4,57.7,55.3,65.2,61.3,59.9,59.3
Male,"Black, non-Hispanic",25.1,26.7,26.3,28.2,26.5,28.2,28.1,32.2,29.7,33.2,35.2,34.0,33.9
Male,Hispanic,18.5,17.4,16.2,18.3,21.7,20.7,20.0,20.7,23.0,24.2,27.9,31.0,33.5
Male,"White, non-Hispanic",36.2,37.2,38.9,38.5,38.4,39.4,37.9,39.6,41.7,42.3,40.6,42.4,38.3
Male,"Pacific Islander, non-Hispanic",0.0,0.0,0.0,51.5,51.3,41.7,55.4,37.0,0.0,31.4,40.4,33.1,63.3
Male,"American Indian/Alaska Native, non-Hispanic",12.8,21.9,20.1,20.3,20.5,25.7,18.1,11.8,18.7,38.7,45.5,22.6,28.1
Male,"Two or more races, non-Hispanic",0.0,0.0,0.0,39.7,39.9,36.9,38.6,36.5,42.9,37.5,41.2,32.3,35.4
